TransactionID,CustomerCode,Accessories_name,Accessories_subname,Unitprice,Unit,SalesValue
P100005,0108GH000000031,Ốp lưng cao cấp,Ốp lưng/ Cường lực,200000,1,200000
P100006,0108GH000001074,Ốp lưng chính hãng,Ốp lưng/ Cường lực,490000,1,490000
P100098,0109$H000003125,Dán màn hình cao cấp,Ốp lưng/ Cường lực,99000,1,99000
P100101,0109AH000007034,Củ sạc nhanh,Củ sạc/ Cáp sạc,450000,1,450000
P100122,0108AH000003441,Bảo hiểm rơi vỡ,Bảo hiểm,789000,1,789000
P100160,0108IH000000922,Ốp lưng cao cấp,Ốp lưng/ Cường lực,200000,1,200000
P100223,0108BH000004264,Ốp lưng chính hãng,Ốp lưng/ Cường lực,490000,1,490000
P100225,0108KH000001622,Dán màn hình cao cấp,Ốp lưng/ Cường lực,99000,1,99000
P100233,0109BH000000729,Củ sạc nhanh,Củ sạc/ Cáp sạc,450000,1,450000
P100334,0107AA000000310,Bảo hiểm rơi vỡ,Bảo hiểm,789000,1,789000
P100361,0110AB000003233,Ốp lưng cao cấp,Ốp lưng/ Cường lực,200000,1,200000
P100476,0112A$000002267,Ốp lưng chính hãng,Ốp lưng/ Cường lực,490000,1,490000
P100683,0111AC000000385,Dán màn hình cao cấp,Ốp lưng/ Cường lực,99000,1,99000
P100709,0110AQ000002624,Củ sạc nhanh,Củ sạc/ Cáp sạc,450000,1,450000
P100753,0111AY000001714,Bảo hiểm rơi vỡ,Bảo hiểm,789000,1,789000
P100776,0111AQ000001728,Ốp lưng cao cấp,Ốp lưng/ Cường lực,200000,1,200000
P100833,0111AA000006367,Ốp lưng chính hãng,Ốp lưng/ Cường lực,490000,1,490000
P100844,0111AN000001938,Dán màn hình cao cấp,Ốp lưng/ Cường lực,99000,1,99000
P100863,0112A7000000271,Củ sạc nhanh,Củ sạc/ Cáp sạc,450000,1,450000
P100930,0113A$000000527,Bảo hiểm rơi vỡ,Bảo hiểm,789000,1,789000
P101011,0112AJ000000920,Ốp lưng cao cấp,Ốp lưng/ Cường lực,200000,1,200000
P101039,0112CL000000406,Ốp lưng chính hãng,Ốp lưng/ Cường lực,490000,1,490000
P101050,0112DP000000133,Dán màn hình cao cấp,Ốp lưng/ Cường lực,99000,1,99000
P101058,0113A$000000523,Củ sạc nhanh,Củ sạc/ Cáp sạc,450000,1,450000
P101065,0112A$000000657,Bảo hiểm rơi vỡ,Bảo hiểm,789000,1,789000
P101088,0112AW000000305,Ốp lưng cao cấp,Ốp lưng/ Cường lực,200000,1,200000
P101203,0113A$000000704,Ốp lưng chính hãng,Ốp lưng/ Cường lực,490000,1,490000
P101255,0112CY000000027,Dán màn hình cao cấp,Ốp lưng/ Cường lực,99000,1,99000
P101287,0113A$000000452,Củ sạc nhanh,Củ sạc/ Cáp sạc,450000,1,450000
P101341,0109@H000000414,Bảo hiểm rơi vỡ,Bảo hiểm,789000,1,789000
P101367,0108CH000001261,Ốp lưng cao cấp,Ốp lưng/ Cường lực,200000,1,200000
P101411,0110AA000004376,Ốp lưng chính hãng,Ốp lưng/ Cường lực,490000,1,490000
P101430,0108AH000001531,Dán màn hình cao cấp,Ốp lưng/ Cường lực,99000,1,99000
P101482,0113A0000000410,Củ sạc nhanh,Củ sạc/ Cáp sạc,450000,1,450000
P101577,0102AA000000072,Bảo hiểm rơi vỡ,Bảo hiểm,789000,1,789000
P101604,0110AN000000832,Ốp lưng cao cấp,Ốp lưng/ Cường lực,200000,1,200000
P101605,0110AO000000698,Ốp lưng chính hãng,Ốp lưng/ Cường lực,490000,1,490000
P101645,0113A0000001384,Dán màn hình cao cấp,Ốp lưng/ Cường lực,99000,1,99000
P101780,0113A$000001066,Củ sạc nhanh,Củ sạc/ Cáp sạc,450000,1,450000
P101799,0110BD000000814,Bảo hiểm rơi vỡ,Bảo hiểm,789000,1,789000
P101849,0110AW000000452,Ốp lưng cao cấp,Ốp lưng/ Cường lực,200000,1,200000
P101978,0113A$000000168,Ốp lưng chính hãng,Ốp lưng/ Cường lực,490000,1,490000
P102262,0112CP000000161,Dán màn hình cao cấp,Ốp lưng/ Cường lực,99000,1,99000
P102361,0113A0000000695,Củ sạc nhanh,Củ sạc/ Cáp sạc,450000,1,450000
P102383,0113A$000001081,Bảo hiểm rơi vỡ,Bảo hiểm,789000,1,789000
P102401,0113A0000000105,Ốp lưng cao cấp,Ốp lưng/ Cường lực,200000,1,200000
P102579,0113AA000000493,Ốp lưng chính hãng,Ốp lưng/ Cường lực,490000,1,490000
P102606,0113A0000000166,Dán màn hình cao cấp,Ốp lưng/ Cường lực,99000,1,99000
